url,name,brand,price,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2024-6347394,Hyundai SantaFe Cao cấp HTRAC,Hyundai,1 Tỷ 180 Triệu,2024,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.5 L,AWD - 4 bánh toàn thời gian,20000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6392677,Nissan Almera VL Cao cấp,Nissan,440 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.0 L,FWD - Dẫn động cầu trước,26000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-wigo-1.2g-at-2018-6392555,Toyota Wigo .2G,Toyota,286 Triệu,2018,Nhập khẩu,Số tự động,Hatchback,Xăng 1.2 L,FWD - Dẫn động cầu trước,66000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-isuzu-dmax-ls-2.5-4x2-mt-2016-6392409,Isuzu Dmax LS,Isuzu,345 Triệu,2016,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,75000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-bmw-5_series-528i-gt-2015-6392482,BMW Series 528i GT,BMW,695 Triệu,2015,Nhập khẩu,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,141200,5,4,Trắng,Cam,Xe đã dùng
https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2022-6392335,Suzuki Swift GLX,Suzuki,519 Triệu,2022,Nhập khẩu,Số tự động,Hatchback,Xăng 1.2 L,FWD - Dẫn động cầu trước,42000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-everest-sport-2.0l-4x2-at-2024-6358379,Ford Everest Sport,Ford,1 Tỷ 200 Triệu,2024,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,RFD - Dẫn động cầu sau,12,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-volvo-xc60-t6-awd-inscription-2021-6392420,Volvo XC60 T6 Inscription,Volvo,1 Tỷ 580 Triệu,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,57000,5,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-p360-awd-2022-6095135,LandRover Range Rover Autobiography LWB I6 P360,Range Rover,11 Tỷ 600 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,33000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-lexus-lx-600-f-sport-2023-6392430,Lexus LX F Sport,Lexus,8 Tỷ 299 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,35000,5,5,Trắng,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-c_class-c180-2020-6392385,Mercedes Benz C class C180,Mercedes,850 Triệu,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,RFD - Dẫn động cầu sau,36000,5,4,Đen,Kem,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf5-plus-2025-6392303,VinFast VF5 Plus,Vinfast,470 Triệu,2025,Lắp ráp trong nước,Số tự động,SUV,Điện,FWD - Dẫn động cầu trước,2800,5,5,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-innova-2.0e-2017-6392214,Toyota Innova .0E,Toyota,365 Triệu,2017,Lắp ráp trong nước,Số tay,Crossover,Xăng 2.0 L,RFD - Dẫn động cầu sau,130000,8,5,Bạc,Nâu,Xe đã dùng
https://bonbanh.com/xe-mini-cooper-s-2007-6392171,Mini Cooper S,Mini,335 Triệu,2007,Nhập khẩu,Số tự động,Coupe,Xăng 1.6 L,FWD - Dẫn động cầu trước,1400000,4,2,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-kia-morning-deluxe-2020-6392128,Kia Morning Deluxe,Kia,305 Triệu,2020,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.25 L,FWD - Dẫn động cầu trước,34000,5,5,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-lexus-lx-600-urban-2023-5684983,Lexus LX Urban,Lexus,8 Tỷ 550 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,10000,7,5,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-lexus-lx-600-urban-2023-6303102,Lexus LX Urban,Lexus,8 Tỷ 550 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,20000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-toyota-vios-1.5g-2019-6392061,Toyota Vios .5G,Toyota,385 Triệu,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,44000,5,4,Đỏ,Kem,Xe đã dùng
